[run number],ground-weeds?,world-area,patch-grain,[step],BA-by-species,age-by-species,dbh-by-species,hgt-by-species,abundances,siminputrow
5,FALSE,1,4,900,[0 0 0 0 0 0 0 0],[188 63 272 0 31 0 96 0],[0.102 0.104 0.135 0 0.105 0 0.18 0],[6.473 5.616 7.931 0 4.387 0 2.703 0],[71 10 308 0 17 0 21 0],2
5,FALSE,1,4,1000,[0 0 0 0 0 0 0 0],[288 39 241 0 48 0 137 0],[0.149 0.099 0.139 0 0.096 0 0.212 0],[8.493 5.886 8.097 0 4.087 0 2.785 0],[48 7 241 0 30 0 25 0],2
1,TRUE,1,4,100,[0 0 0 0 0 0 0 0],[203 113 185 3 53 114 293 113],[0.178 0.123 0.139 0.014 0.157 0.176 0.121 0.416],[9.735 6.577 8.183 1.805 5.516 6.945 2.932 8.51],[107 179 103 1 65 27 103 2],1
1,TRUE,1,4,200,[0 0 0 0 0 0 0 0],[174 88 94 0 37 202 90 0],[0.148 0.108 0.109 0 0.148 0.245 0.119 0],[8.658 6.186 7.043 0 5.493 8.821 2.452 0],[29 276 42 0 63 7 102 0],1
1,TRUE,1,4,300,[0 0 0 0 0 0 0 0],[170 115 194 0 33 240 142 0],[0.217 0.122 0.206 0 0.119 0.457 0.123 0],[11.656 6.311 10.959 0 4.644 14.408 2.921 0],[18 158 34 0 19 3 76 0],1
1,TRUE,1,4,400,[0 0 0 0 0 0 0 0],[236 113 284 0 62 180 221 0],[0.225 0.132 0.214 0 0.174 0.323 0.131 0],[11.723 6.846 11.161 0 5.626 11.09 3.427 0],[32 335 54 0 74 2 136 0],1
1,TRUE,1,4,500,[0 0 0 0 0 0 0 0],[231 138 384 0 49 280 175 0],[0.156 0.126 0.199 0 0.126 0.377 0.128 0],[9.062 6.607 10.282 0 4.897 11.9 2.957 0],[67 331 67 0 50 4 121 0],1
1,TRUE,1,4,600,[0 0 0 0 0 0 0 0],[229 95 177 0 36 380 248 0],[0.156 0.112 0.15 0 0.119 0.522 0.134 0],[8.731 6.196 8.592 0 4.562 14.543 2.956 0],[71 277 49 0 9 3 148 0],1
1,TRUE,1,4,700,[0 0 0 0 0 0 0 0],[168 88 256 0 58 101 125 0],[0.158 0.124 0.181 0 0.128 0.235 0.138 0],[9.157 6.368 9.898 0 4.78 8.811 2.625 0],[39 209 52 0 16 1 118 0],1
1,TRUE,1,4,800,[0 0 0 0 0 0 0 0],[168 108 304 0 18 0 208 0],[0.16 0.105 0.135 0 0.072 0 0.133 0],[9.193 5.801 7.911 0 3.559 0 2.816 0],[43 167 69 0 8 0 124 0],1
1,TRUE,1,4,900,[0 0 0 0 0 0 0 0],[268 120 404 0 4 0 151 0],[0.178 0.131 0.167 0 0.029 0 0.146 0],[9.664 6.626 9.401 0 2.36 0 2.939 0],[84 231 112 0 1 0 116 0],1
1,TRUE,1,4,1000,[0 0 0 0 0 0 0 0],[180 95 234 0 0 0 203 0],[0.126 0.105 0.1 0 0 0 0.14 0],[7.586 5.965 6.36 0 0 0 2.66 0],[44 217 67 0 0 0 43 0],1
2,TRUE,1,4,100,[0 0 0 0 0 0 0 0],[213 80 500 0 48 102 293 27],[0.153 0.116 0.15 0 0.151 0.142 0.123 0.132],[8.522 6.233 8.4 0 5.503 5.904 3.042 5.071],[117 64 94 0 60 19 90 1],1
2,TRUE,1,4,200,[0 0 0 0 0 0 0 0],[249 150 221 0 64 199 173 127],[0.183 0.148 0.151 0 0.13 0.172 0.139 0.267],[10.168 7.322 8.748 0 4.962 6.751 2.978 6.764],[125 104 138 0 111 18 134 5],1
2,TRUE,1,4,300,[0 0 0 0 0 0 0 0],[209 87 295 0 32 223 193 0],[0.147 0.084 0.143 0 0.099 0.229 0.165 0],[8.435 5.185 8.225 0 4.223 8.055 2.86 0],[84 85 96 0 45 11 83 0],1
2,TRUE,1,4,400,[0 0 0 0 0 0 0 0],[204 108 149 0 59 119 224 0],[0.147 0.139 0.134 0 0.155 0.151 0.127 0],[8.73 7.043 8.215 0 5.392 6.163 2.636 0],[87 128 102 0 101 10 166 0],1
2,TRUE,1,4,500,[0 0 0 0 0 0 0 0],[183 164 249 0 60 219 183 0],[0.175 0.15 0.183 0 0.16 0.31 0.159 0],[9.775 7.241 9.947 0 5.578 10.535 2.941 0],[107 105 137 0 97 11 153 0],1
2,TRUE,1,4,600,[0 0 0 0 0 0 0 0],[268 136 270 0 42 250 185 0],[0.188 0.161 0.178 0 0.144 0.224 0.165 0],[10.091 7.642 9.91 0 5.303 7.719 2.949 0],[122 71 156 0 120 9 151 0],1
2,TRUE,1,4,700,[0 0 0 0 0 0 0 0],[258 104 219 0 71 318 273 0],[0.173 0.129 0.145 0 0.133 0.284 0.162 0],[9.424 6.77 8.477 0 5.074 9.15 2.803 0],[100 32 168 0 125 7 147 0],1
2,TRUE,1,4,800,[0 0 0 0 0 0 0 0],[358 74 248 0 48 132 373 0],[0.179 0.098 0.166 0 0.136 0.347 0.136 0],[9.87 5.811 9.354 0 5.124 12.026 3.07 0],[103 32 187 0 94 1 160 0],1
2,TRUE,1,4,900,[0 0 0 0 0 0 0 0],[250 31 221 0 53 232 257 0],[0.154 0.104 0.124 0 0.146 0.251 0.147 0],[8.624 6.127 7.476 0 5.369 8.344 3.061 0],[103 10 187 0 81 3 149 0],1
2,TRUE,1,4,1000,[0 0 0 0 0 0 0 0],[350 31 273 0 49 0 167 0],[0.128 0.07 0.138 0 0.136 0 0.151 0],[7.624 4.669 8.193 0 5.189 0 2.612 0],[88 6 208 0 91 0 128 0],1
3,TRUE,1,4,100,[0 0 0 0 0 0 0 0],[214 114 213 0 67 105 247 125],[0.163 0.103 0.147 0 0.106 0.16 0.14 0.188],[8.675 5.715 8.279 0 4.392 6.463 2.685 5.057],[81 81 88 0 156 26 100 6],1
3,TRUE,1,4,200,[0 0 0 0 0 0 0 0],[314 62 194 0 60 201 273 4],[0.18 0.088 0.161 0 0.129 0.246 0.139 0.017],[9.727 5.269 9.137 0 4.855 8.775 2.873 1.87],[87 63 76 0 158 13 130 2],1
3,TRUE,1,4,300,[0 0 0 0 0 0 0 0],[414 136 199 0 81 221 234 0],[0.191 0.11 0.178 0 0.168 0.24 0.152 0],[10.135 5.966 10.008 0 5.496 8.524 3.172 0],[109 88 115 0 83 10 176 0],1
3,TRUE,1,4,400,[0 0 0 0 0 0 0 0],[314 111 187 0 88 115 103 0],[0.146 0.095 0.128 0 0.123 0.221 0.171 0],[8.077 5.558 7.738 0 4.82 8.313 2.508 0],[73 134 55 0 122 2 100 0],1
3,TRUE,1,4,500,[0 0 0 0 0 0 0 0],[233 105 215 0 94 215 156 0],[0.166 0.137 0.177 0 0.183 0.251 0.125 0],[9.542 7.009 9.791 0 6.112 8.694 2.874 0],[51 184 59 0 151 4 125 0],1
3,TRUE,1,4,600,[0 0 0 0 0 0 0 0],[183 99 206 0 54 48 148 0],[0.141 0.093 0.132 0 0.119 0.115 0.16 0],[8.07 5.576 7.697 0 4.764 5.124 2.324 0],[46 211 54 0 93 1 58 0],1
3,TRUE,1,4,700,[0 0 0 0 0 0 0 0],[283 106 233 0 100 148 248 0],[0.193 0.117 0.173 0 0.145 0.47 0.133 0],[10.44 6.342 9.724 0 5.206 15.321 2.991 0],[49 281 68 0 94 1 122 0],1
3,TRUE,1,4,800,[0 0 0 0 0 0 0 0],[215 154 269 0 89 248 90 0],[0.166 0.103 0.16 0 0.145 0.251 0.148 0],[9.268 5.899 8.924 0 5.239 8.298 2.577 0],[65 250 51 0 101 4 55 0],1
3,TRUE,1,4,900,[0 0 0 0 0 0 0 0],[315 88 147 0 39 0 183 0],[0.152 0.096 0.127 0 0.098 0 0.127 0],[8.437 5.642 7.741 0 4.206 0 3.032 0],[70 299 54 0 62 0 29 0],1
3,TRUE,1,4,1000,[0 0 0 0 0 0 0 0],[244 123 165 0 55 0 218 0],[0.175 0.143 0.192 0 0.144 0 0.126 0],[9.706 7.177 10.555 0 5.13 0 3.455 0],[100 324 80 0 67 0 45 0],1
4,TRUE,1,4,100,[0 0 0 0 0 0 0 0],[232 86 194 0 82 103 296 117],[0.225 0.128 0.151 0 0.154 0.154 0.135 0.808],[11.328 6.643 8.624 0 5.349 6.292 3.015 14.857],[49 77 64 0 75 13 76 2],1
4,TRUE,1,4,200,[0 0 0 0 0 0 0 0],[317 81 233 0 42 201 165 0],[0.148 0.119 0.165 0 0.124 0.248 0.123 0],[8.127 6.357 9.447 0 4.742 8.876 2.734 0],[47 88 91 0 67 10 116 0],1
4,TRUE,1,4,300,[0 0 0 0 0 0 0 0],[139 156 304 0 69 301 265 0],[0.121 0.128 0.154 0 0.116 0.288 0.109 0],[7.452 6.599 8.739 0 4.628 9.34 2.731 0],[27 114 128 0 70 13 183 0],1
4,TRUE,1,4,400,[0 0 0 0 0 0 0 0],[149 93 276 0 94 111 213 0],[0.181 0.14 0.154 0 0.161 0.244 0.121 0],[10.076 7.143 8.831 0 5.548 9.001 3.024 0],[13 176 189 0 71 2 179 0],1
4,TRUE,1,4,500,[0 0 0 0 0 0 0 0],[182 109 265 0 57 158 251 0],[0.252 0.135 0.189 0 0.154 0.201 0.125 0],[13.045 6.955 10.223 0 5.365 7.368 3.012 0],[16 159 238 0 52 3 169 0],1
4,TRUE,1,4,600,[0 0 0 0 0 0 0 0],[282 110 352 0 60 69 191 0],[0.184 0.122 0.182 0 0.132 0.11 0.129 0],[9.375 6.423 9.823 0 4.933 4.966 2.712 0],[21 134 283 0 22 1 153 0],1
4,TRUE,1,4,700,[0 0 0 0 0 0 0 0],[382 118 398 0 4 0 204 0],[0.262 0.112 0.14 0 0.024 0 0.148 0],[11.177 6.022 7.997 0 2.194 0 2.564 0],[6 96 158 0 2 0 40 0],1
4,TRUE,1,4,800,[0 0 0 0 0 0 0 0],[141 91 244 0 16 0 81 0],[0.142 0.105 0.131 0 0.104 0 0.122 0],[8.239 5.792 7.711 0 4.631 0 2.491 0],[8 98 175 0 6 0 24 0],1
4,TRUE,1,4,900,[0 0 0 0 0 0 0 0],[187 86 240 0 30 0 144 0],[0.148 0.125 0.161 0 0.15 0 0.084 0],[8.443 6.689 9.318 0 5.669 0 2.674 0],[12 260 255 0 26 0 51 0],1
4,TRUE,1,4,1000,[0 0 0 0 0 0 0 0],[287 127 213 0 54 0 126 0],[0.218 0.13 0.146 0 0.211 0 0.11 0],[11.44 6.825 8.48 0 6.556 0 2.852 0],[24 244 215 0 16 0 35 0],1
5,TRUE,1,4,100,[0 0 0 0 0 0 0 0],[178 54 155 0 63 101 268 0],[0.122 0.078 0.114 0 0.108 0.121 0.11 0],[7.265 5.008 6.978 0 4.444 5.222 2.687 0],[71 108 80 0 99 11 52 0],1
5,TRUE,1,4,200,[0 0 0 0 0 0 0 0],[183 65 154 0 65 201 80 0],[0.15 0.098 0.142 0 0.137 0.213 0.155 0],[8.627 5.647 8.457 0 4.952 7.8 2.471 0],[117 69 73 0 64 10 24 0],1
5,TRUE,1,4,300,[0 0 0 0 0 0 0 0],[270 102 194 0 53 199 91 0],[0.175 0.108 0.136 0 0.135 0.185 0.127 0],[9.533 6.015 8.141 0 5.191 7.046 2.557 0],[127 128 125 0 118 12 49 0],1
5,TRUE,1,4,400,[0 0 0 0 0 0 0 0],[209 126 184 0 71 299 191 0],[0.118 0.117 0.138 0 0.151 0.253 0.151 0],[7.167 6.343 8.226 0 5.385 8.646 2.701 0],[125 140 165 0 92 11 34 0],1
5,TRUE,1,4,500,[0 0 0 0 0 0 0 0],[191 91 284 0 59 258 132 0],[0.17 0.125 0.181 0 0.161 0.389 0.168 0],[9.67 6.519 9.853 0 5.519 12.26 2.848 0],[92 145 157 0 49 5 35 0],1
5,TRUE,1,4,600,[0 0 0 0 0 0 0 0],[206 75 185 0 59 38 69 0],[0.142 0.094 0.098 0 0.131 0.07 0.183 0],[8.168 5.607 6.343 0 4.971 3.684 2.17 0],[83 182 148 0 88 1 14 0],1
5,TRUE,1,4,700,[0 0 0 0 0 0 0 0],[306 125 238 0 46 0 0 0],[0.113 0.097 0.128 0 0.143 0 0 0],[6.936 5.657 7.676 0 5.249 0 0 0],[63 128 135 0 68 0 0 0],1
5,TRUE,1,4,800,[0 0 0 0 0 0 0 0],[406 125 213 0 44 0 0 0],[0.166 0.134 0.16 0 0.149 0 0 0],[9.375 6.804 9.282 0 5.459 0 0 0],[93 198 225 0 80 0 0 0],1
5,TRUE,1,4,900,[0 0 0 0 0 0 0 0],[165 119 252 0 36 0 0 0],[0.139 0.099 0.144 0 0.102 0 0 0],[8.174 5.712 8.135 0 4.343 0 0 0],[60 72 164 0 21 0 0 0],1
5,TRUE,1,4,1000,[0 0 0 0 0 0 0 0],[170 75 334 0 38 0 0 0],[0.133 0.086 0.111 0 0.099 0 0 0],[7.969 5.294 6.815 0 4.247 0 0 0],[73 138 188 0 25 0 0 0],1
1,FALSE,1,4,100,[0 0 0 0 0 0 0 0],[204 113 178 0 62 107 212 38],[0.174 0.092 0.152 0 0.147 0.166 0.125 0.153],[9.612 5.536 8.712 0 5.317 6.639 2.519 5.485],[76 93 57 0 112 19 173 8],2
1,FALSE,1,4,200,[0 0 0 0 0 0 0 0],[271 93 278 0 37 202 162 0],[0.2 0.154 0.174 0 0.158 0.21 0.123 0],[10.792 7.444 9.691 0 5.634 7.747 2.865 0],[112 119 107 0 83 14 203 0],2
1,FALSE,1,4,300,[0 0 0 0 0 0 0 0],[229 77 191 0 57 237 229 0],[0.192 0.107 0.153 0 0.161 0.316 0.144 0],[10.22 6.084 8.827 0 5.505 10.712 2.902 0],[94 104 95 0 47 6 118 0],2
1,FALSE,1,4,400,[0 0 0 0 0 0 0 0],[276 102 256 0 70 204 311 0],[0.183 0.113 0.165 0 0.122 0.23 0.142 0],[9.964 6.053 9.256 0 4.697 7.999 2.826 0],[110 118 146 0 50 3 170 0],2
1,FALSE,1,4,500,[0 0 0 0 0 0 0 0],[313 55 265 0 37 121 241 0],[0.154 0.119 0.115 0 0.129 0.127 0.125 0],[8.614 6.548 7.037 0 5.029 5.353 2.632 0],[104 60 137 0 31 3 126 0],2
1,FALSE,1,4,600,[0 0 0 0 0 0 0 0],[370 48 283 0 28 0 128 0],[0.126 0.073 0.124 0 0.095 0 0.128 0],[7.232 4.808 7.442 0 4.286 0 2.364 0],[102 58 89 0 18 0 69 0],2
1,FALSE,1,4,700,[0 0 0 0 0 0 0 0],[470 123 180 0 47 0 183 0],[0.152 0.113 0.148 0 0.122 0 0.118 0],[8.768 6.156 8.649 0 4.642 0 2.797 0],[157 166 117 0 38 0 90 0],2
1,FALSE,1,4,800,[0 0 0 0 0 0 0 0],[237 55 273 0 53 0 119 0],[0.14 0.093 0.147 0 0.113 0 0.138 0],[8.047 5.561 8.275 0 4.575 0 2.304 0],[116 117 112 0 52 0 76 0],2
1,FALSE,1,4,900,[0 0 0 0 0 0 0 0],[249 108 296 0 44 0 185 0],[0.158 0.111 0.162 0 0.124 0 0.144 0],[9.012 6.049 9.227 0 4.821 0 2.971 0],[167 70 186 0 55 0 64 0],2
1,FALSE,1,4,1000,[0 0 0 0 0 0 0 0],[214 114 260 0 49 0 140 0],[0.155 0.127 0.159 0 0.151 0 0.124 0],[8.793 6.573 8.972 0 5.372 0 3.094 0],[166 75 234 0 41 0 49 0],2
2,FALSE,1,4,100,[0 0 0 0 0 0 0 0],[198 66 223 0 60 113 293 113],[0.167 0.107 0.159 0 0.138 0.147 0.124 0.331],[9.001 6.026 8.965 0 5.092 6.044 2.74 8.143],[80 167 85 0 72 37 151 8],2
2,FALSE,1,4,200,[0 0 0 0 0 0 0 0],[280 78 224 0 60 209 200 71],[0.157 0.12 0.151 0 0.114 0.273 0.124 0.533],[8.581 6.522 8.759 0 4.499 9.471 2.796 12.71],[58 143 126 0 59 21 117 2],2
2,FALSE,1,4,300,[0 0 0 0 0 0 0 0],[167 78 324 0 34 301 205 0],[0.119 0.119 0.13 0 0.129 0.184 0.135 0],[7.264 6.558 7.713 0 5.014 6.863 2.781 0],[39 200 135 0 50 20 144 0],2
2,FALSE,1,4,400,[0 0 0 0 0 0 0 0],[236 98 424 0 62 86 143 0],[0.198 0.129 0.159 0 0.141 0.248 0.136 0],[10.872 6.688 9.143 0 5.106 9.194 3.04 0],[63 185 118 0 66 1 150 0],2
2,FALSE,1,4,500,[0 0 0 0 0 0 0 0],[136 106 187 0 36 186 242 0],[0.149 0.122 0.146 0 0.127 0.619 0.135 0],[8.883 6.555 8.513 0 5.014 18.956 2.864 0],[57 169 68 0 34 1 108 0],2
2,FALSE,1,4,600,[0 0 0 0 0 0 0 0],[199 113 260 0 57 0 246 0],[0.179 0.14 0.19 0 0.146 0 0.128 0],[9.955 7.129 10.427 0 5.195 0 3.042 0],[88 228 137 0 43 0 151 0],2
2,FALSE,1,4,700,[0 0 0 0 0 0 0 0],[138 91 310 0 55 0 256 0],[0.113 0.11 0.164 0 0.164 0 0.129 0],[7.191 6.17 9.158 0 5.669 0 2.821 0],[54 225 161 0 45 0 100 0],2
2,FALSE,1,4,800,[0 0 0 0 0 0 0 0],[238 89 410 0 44 0 232 0],[0.207 0.091 0.203 0 0.118 0 0.124 0],[10.903 5.453 10.779 0 4.711 0 3.073 0],[57 192 185 0 20 0 112 0],2
2,FALSE,1,4,900,[0 0 0 0 0 0 0 0],[227 113 510 0 11 0 248 0],[0.155 0.087 0.146 0 0.058 0 0.137 0],[8.491 5.077 8.014 0 3.307 0 2.493 0],[32 69 72 0 4 0 20 0],2
2,FALSE,1,4,1000,[0 0 0 0 0 0 0 0],[87 99 285 0 16 0 188 0],[0.095 0.101 0.166 0 0.068 0 0.162 0],[6.314 5.671 9.387 0 3.553 0 2.837 0],[33 175 109 0 5 0 54 0],2
3,FALSE,1,4,100,[0 0 0 0 0 0 0 0],[184 68 152 56 62 101 257 77],[0.15 0.106 0.137 0.088 0.129 0.123 0.135 0.289],[8.621 6.021 8.189 3.287 4.907 5.275 2.873 8.014],[67 70 123 11 108 7 112 4],2
3,FALSE,1,4,200,[0 0 0 0 0 0 0 0],[251 88 252 0 70 0 173 0],[0.185 0.177 0.164 0 0.13 0 0.132 0],[10.229 8.35 9.242 0 4.895 0 2.698 0],[60 49 162 0 123 0 185 0],2
3,FALSE,1,4,300,[0 0 0 0 0 0 0 0],[351 45 280 0 100 0 238 0],[0.161 0.076 0.168 0 0.126 0 0.136 0],[8.849 4.915 9.324 0 4.707 0 2.992 0],[40 36 181 0 122 0 185 0],2
3,FALSE,1,4,400,[0 0 0 0 0 0 0 0],[185 101 246 0 79 0 260 0],[0.137 0.082 0.123 0 0.123 0 0.12 0],[7.992 5.039 7.28 0 4.778 0 2.643 0],[32 26 107 0 51 0 70 0],2
3,FALSE,1,4,500,[0 0 0 0 0 0 0 0],[121 74 325 0 58 0 262 0],[0.125 0.129 0.141 0 0.177 0 0.119 0],[7.689 6.864 8.379 0 5.95 0 3.037 0],[54 65 151 0 171 0 154 0],2
3,FALSE,1,4,600,[0 0 0 0 0 0 0 0],[221 87 425 0 83 0 362 0],[0.147 0.118 0.167 0 0.123 0 0.131 0],[8.468 6.44 9.337 0 4.667 0 2.976 0],[62 75 186 0 114 0 152 0],2
3,FALSE,1,4,700,[0 0 0 0 0 0 0 0],[186 100 295 0 39 0 281 0],[0.165 0.094 0.14 0 0.096 0 0.14 0],[9.211 5.476 8.17 0 4.191 0 2.484 0],[28 75 113 0 35 0 94 0],2
3,FALSE,1,4,800,[0 0 0 0 0 0 0 0],[239 151 275 0 48 0 165 0],[0.154 0.127 0.14 0 0.08 0 0.149 0],[8.843 6.488 8.007 0 3.687 0 2.719 0],[43 81 91 0 70 0 82 0],2
3,FALSE,1,4,900,[0 0 0 0 0 0 0 0],[233 108 154 0 60 0 184 0],[0.192 0.137 0.166 0 0.128 0 0.135 0],[9.998 7.13 9.589 0 4.836 0 3.279 0],[13 70 75 0 43 0 65 0],2
3,FALSE,1,4,1000,[0 0 0 0 0 0 0 0],[221 91 241 0 75 0 201 0],[0.151 0.157 0.17 0 0.194 0 0.118 0],[8.701 7.631 9.716 0 6.211 0 2.988 0],[63 192 178 0 104 0 110 0],2
4,FALSE,1,4,100,[0 0 0 0 0 0 0 0],[182 86 146 0 64 109 293 60],[0.116 0.105 0.133 0 0.108 0.163 0.126 0.176],[7.126 5.903 7.975 0 4.339 6.526 2.68 5.512],[74 159 63 0 88 7 42 4],2
4,FALSE,1,4,200,[0 0 0 0 0 0 0 0],[197 104 214 0 40 202 331 0],[0.182 0.169 0.198 0 0.14 0.623 0.127 0],[10 7.948 10.678 0 5.335 19.049 3.213 0],[83 186 106 0 93 1 68 0],2
4,FALSE,1,4,300,[0 0 0 0 0 0 0 0],[291 86 167 0 80 0 247 0],[0.12 0.084 0.115 0 0.137 0 0.15 0],[7.153 5.155 7.057 0 5.177 0 2.999 0],[55 114 93 0 64 0 63 0],2
4,FALSE,1,4,400,[0 0 0 0 0 0 0 0],[225 112 253 0 76 0 339 0],[0.161 0.142 0.177 0 0.176 0 0.141 0],[9.311 7.192 9.905 0 5.85 0 3.237 0],[123 200 138 0 84 0 97 0],2
4,FALSE,1,4,500,[0 0 0 0 0 0 0 0],[200 121 184 0 70 0 328 0],[0.106 0.104 0.129 0 0.146 0 0.148 0],[6.59 5.832 7.743 0 5.203 0 2.836 0],[86 143 77 0 53 0 82 0],2
4,FALSE,1,4,600,[0 0 0 0 0 0 0 0],[205 94 284 0 46 0 258 0],[0.179 0.115 0.189 0 0.139 0 0.133 0],[10.003 6.126 10.022 0 5.126 0 3.016 0],[68 93 82 0 70 0 73 0],2
4,FALSE,1,4,700,[0 0 0 0 0 0 0 0],[253 138 151 0 65 0 156 0],[0.143 0.117 0.117 0 0.137 0 0.12 0],[8.353 6.305 7.297 0 5.049 0 2.962 0],[79 240 87 0 94 0 84 0],2
4,FALSE,1,4,800,[0 0 0 0 0 0 0 0],[184 109 185 0 72 0 216 0],[0.163 0.12 0.15 0 0.167 0 0.131 0],[9.241 6.338 8.827 0 5.817 0 3.003 0],[106 217 70 0 104 0 98 0],2
4,FALSE,1,4,900,[0 0 0 0 0 0 0 0],[202 99 175 0 76 0 172 0],[0.158 0.133 0.146 0 0.177 0 0.113 0],[9.155 6.973 8.639 0 5.857 0 2.746 0],[116 226 103 0 71 0 104 0],2
4,FALSE,1,4,1000,[0 0 0 0 0 0 0 0],[243 90 252 0 64 0 233 0],[0.171 0.136 0.165 0 0.112 0 0.116 0],[9.452 6.843 9.077 0 4.571 0 3.008 0],[91 168 107 0 38 0 72 0],2
5,FALSE,1,4,100,[0 0 0 0 0 0 0 0],[216 97 204 0 50 110 293 126],[0.178 0.142 0.15 0 0.145 0.172 0.137 0.518],[9.684 7.315 8.69 0 5.298 6.816 3.041 11.093],[92 146 85 0 82 40 166 11],2
5,FALSE,1,4,200,[0 0 0 0 0 0 0 0],[261 82 226 0 42 210 197 208],[0.193 0.104 0.156 0 0.17 0.289 0.149 0.464],[10.299 5.896 8.815 0 6.053 9.855 3.202 8.682],[100 106 120 0 36 35 141 2],2
5,FALSE,1,4,300,[0 0 0 0 0 0 0 0],[227 107 241 0 33 301 245 0],[0.136 0.104 0.145 0 0.093 0.227 0.151 0],[7.989 5.731 8.272 0 4.15 7.708 2.925 0],[89 143 97 0 20 33 119 0],2
5,FALSE,1,4,400,[0 0 0 0 0 0 0 0],[244 95 220 0 54 203 125 0],[0.163 0.114 0.174 0 0.124 0.291 0.123 0],[9.19 6.139 9.579 0 4.488 10.216 2.649 0],[78 197 86 0 10 7 62 0],2
5,FALSE,1,4,500,[0 0 0 0 0 0 0 0],[252 124 224 0 94 303 110 0],[0.121 0.094 0.143 0 0.171 0.291 0.132 0],[7.363 5.453 8.295 0 5.453 9.596 2.445 0],[102 215 94 0 22 11 75 0],2
5,FALSE,1,4,600,[0 0 0 0 0 0 0 0],[165 92 84 0 23 287 167 0],[0.106 0.098 0.076 0 0.117 0.294 0.121 0],[6.691 5.739 5.399 0 4.749 9.585 2.548 0],[60 177 42 0 5 5 45 0],2
5,FALSE,1,4,700,[0 0 0 0 0 0 0 0],[237 104 148 0 0 387 180 0],[0.177 0.112 0.125 0 0 0.403 0.115 0],[9.779 6.173 7.634 0 0 11.828 3.147 0],[93 326 81 0 0 5 62 0],2
5,FALSE,1,4,800,[0 0 0 0 0 0 0 0],[182 120 217 0 0 487 261 0],[0.158 0.121 0.185 0 0 0.346 0.118 0],[9.048 6.371 10.071 0 0 10.474 3.31 0],[85 264 77 0 0 12 45 0],2
